"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories",,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0409-01,,,,,,,
Release date: 2023-10-04,,,,,,,
"Geography: Canada, Province or territory",,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)",,,,,,,
,,,,,,,
Geography,Canada i1,,,,,,
Gender (3) 1 2,Total - Gender,,,,,,
Age (15A) 3,Total - Age,,,,,,
"Highest certificate, diploma or degree (16) 4","Total - Highest certificate, diploma or degree 6",,,,,,
Work activity during the reference year (5) 5,Total - Work activity during the reference year 7,,,,,,
Income year (2),2020,,,,,,
Employment income statistics (7),Total - Employment income statistics 9 10 11 12,With employment income,Median employment income ($),Average employment income ($),"With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 8,,,,,,,
30.35 Climate science,535,420,"57,200","61,200",375,"61,600","65,600"
30.38 Earth systems science,35,30,x,"85,000",30,x,"85,000"
30.41 Environmental geosciences,545,505,"45,600","56,800",475,"46,000","57,600"
30.42 Geoarchaeology,15,0,...,...,0,...,...
30.43 Geobiology,265,205,"44,800","54,000",175,"47,600","52,400"
30.50 Mathematics and atmospheric/oceanic science,0,0,...,...,0,...,...
40. Physical sciences,"196,620","147,605","55,200","70,400","136,530","59,200","73,600"
"40.01 Physical sciences, general","14,470","11,710","52,400","65,900","11,075","56,400","68,000"
40.02 Astronomy and astrophysics,"2,660","2,080","66,000","77,200","1,970","67,000","79,200"
40.04 Atmospheric sciences and meteorology,"2,800","2,035","73,500","70,300","1,880","78,500","73,600"
40.05 Chemistry,"80,540","60,130","50,800","63,400","55,890","54,800","66,000"
40.06 Geological and Earth sciences/geosciences,"45,360","34,435","58,800","82,600","31,575","62,800","86,800"
40.08 Physics,"43,510","31,885","60,000","72,500","29,230","65,000","76,500"
40.10 Materials sciences,"4,375","3,240","47,600","69,900","2,975","52,400","73,800"
40.11 Physics and astronomy,670,535,"28,200","44,400",495,"32,400","47,400"
"40.99 Physical sciences, other","2,230","1,555","57,600","65,000","1,435","63,200","69,300"
41. Science technologies/technicians,"34,710","24,285","44,000","50,760","22,825","46,000","52,850"
"41.00 Science technologies/technicians, general","17,665","11,625","39,200","44,720","10,830","41,600","46,880"
41.01 Biology and biotechnology technologies/technicians,"2,785","2,165","38,000","41,160","2,035","39,600","42,800"
41.02 Nuclear and industrial radiologic technologies/technicians,655,510,"65,000","62,800",485,"65,000","63,200"
41.03 Physical science technologies/technicians,"12,970","9,485","52,000","59,450","8,990","54,000","61,500"
"41.99 Science technologies/technicians, other",640,500,"51,600","56,400",490,"51,600","57,000"
"Mathematics, computer and information sciences","804,230","656,470","59,200","70,300","618,330","61,600","72,600"
11. Computer and information sciences and support services,"643,145","540,030","60,000","70,100","510,310","62,400","72,300"
"11.01 Computer and information sciences and support services, general","164,690","138,185","57,600","65,600","130,775","60,000","67,500"
11.02 Computer programming,"61,970","49,680","50,800","59,350","46,460","53,200","61,600"
11.03 Data processing and data processing technology/technician,"4,005","2,690","45,200","54,050","2,480","48,400","56,250"
11.04 Information science/studies,"4,610","4,000","67,500","75,600","3,855","70,000","76,600"
11.05 Computer systems analysis/analyst,"15,140","12,475","61,200","64,900","11,645","63,200","67,300"
